# x, y, z, type, name
0, 0, 0, start, home
9, 9, 9, goal, goal
-482000, 0, 0, obstacle, _x_limit
0, -1892000, 0, obstacle, _y_limit
0, 0, -1350000, obstacle, _z_limit
-179000, 0, _z_limit, obstacle, _dg32_upper_right_corner
-92400, -253000, _z_limit, obstacle, _dna_quant_a
-264600, -353000, -1000000, obstacle, _sample_rack_a
-381600, 0, -1160000, obstacle, _pre_amp_upper_right_corner
-328600, -639342, -910000, obstacle, _32_deep_well_upper_right_corner
-328600, -1409342, -1060000, obstacle, _mag_separator